,Keyword,Score,Poem,Author
0,soul,0.4301,I Believe I Always Have Believed,Hewitt
1,eternal,0.3774,I Believe I Always Have Believed,Hewitt
2,evil,0.3584,I Believe I Always Have Believed,Hewitt
3,kind,0.3397,I Believe I Always Have Believed,Hewitt
4,fate,0.3353,I Believe I Always Have Believed,Hewitt
5,believe,0.3255,I Believe I Always Have Believed,Hewitt
6,saviour,0.3018,I Believe I Always Have Believed,Hewitt
7,succour,0.284,I Believe I Always Have Believed,Hewitt
8,hearts,0.283,I Believe I Always Have Believed,Hewitt
9,forlorn,0.2511,I Believe I Always Have Believed,Hewitt
0,bak,1.7298,Bakur,Hewitt
1,die,1.6473,Bakur,Hewitt
2,fortress,1.5549,Bakur,Hewitt
3,flee,1.3719000000000001,Bakur,Hewitt
4,blame,1.2177,Bakur,Hewitt
5,dagestanis,1.0815,Bakur,Hewitt
6,tell,1.038,Bakur,Hewitt
7,cause,0.9908999999999999,Bakur,Hewitt
8,ur,0.9542999999999999,Bakur,Hewitt
9,robbed,0.9159,Bakur,Hewitt
0,grave,0.3821,Some Day It Will Happen I Shall Die,Hewitt
1,die,0.3405,Some Day It Will Happen I Shall Die,Hewitt
2,earth,0.2624,Some Day It Will Happen I Shall Die,Hewitt
3,shall,0.2563,Some Day It Will Happen I Shall Die,Hewitt
4,alas,0.2315,Some Day It Will Happen I Shall Die,Hewitt
5,descend,0.2065,Some Day It Will Happen I Shall Die,Hewitt
6,heart,0.1862,Some Day It Will Happen I Shall Die,Hewitt
7,sobbing,0.1425,Some Day It Will Happen I Shall Die,Hewitt
8,worms,0.135,Some Day It Will Happen I Shall Die,Hewitt
9,rock,0.1201,Some Day It Will Happen I Shall Die,Hewitt
0,sores,0.3994,I Feel Like Singing And I Shall Sing,Hewitt
1,torment,0.3867,I Feel Like Singing And I Shall Sing,Hewitt
2,sword,0.3458,I Feel Like Singing And I Shall Sing,Hewitt
3,sing,0.3393,I Feel Like Singing And I Shall Sing,Hewitt
4,heart,0.3351,I Feel Like Singing And I Shall Sing,Hewitt
