ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking,n_emotions
1.24514e+18,minister for agriculture mahendra reddy to hold a press conference on coronavirus assistance  the conference will be held at 12 30pm,0,0,0,0,0,0,0,0,1,0,1
1.24521e+18,if women would have been allowed to explore pocahontas would be a much more peaceful story  lockdown coronavirus,1,0,0,0,0,0,0,0,0,1,2
1.24524e+18,confirmed with coronavirus isnt a shame  it is a global pandemic that can affected anyone  stay safe and dont forget to wash ur hand,1,0,0,0,1,0,0,0,0,0,2
1.24516e+18,coronavirus started cuz 7 11 switched to self serve for the hot food,0,0,0,0,0,0,0,0,0,1,1
1.24521e+18,what if the reason the corona test goes so far up your nose is bc theyre infecting you with it   ,0,0,0,0,0,0,0,1,0,1,1
1.24516e+18,the uk coronavirus cases just keep increasing even tho we are supposedly in lockdown but ppl arent listening,0,0,0,0,1,0,1,0,0,0,2
1.24514e+18,like 911 forever changed us so will coronavirus we now understand we only have so much control   ,1,0,0,1,0,0,0,0,0,0,2
1.24521e+18,march is finally over    april please be fast and bring an end to this corona virus,1,0,1,0,0,0,0,0,0,0,2
1.24521e+18,corona took my summer before it even started     i bought these thot outfits for no reason,0,0,0,0,0,1,1,0,0,0,2
1.24522e+18,last time i tweeted corona wasnt a thing bruh what happened,0,0,0,0,1,1,0,0,0,1,3
1.24523e+18,currently waiting for the government to come out and say corona virus was part of their april fools prank,1,0,0,1,0,0,0,0,0,1,3
1.24515e+18,i am sick with corona  mild symptoms much like a cold   chill out people,1,0,0,0,0,0,1,0,1,0,3
1.24519e+18,my house has an ant infestation and may the good lady corona take me into her arms,0,0,0,0,0,0,0,0,0,1,1
1.24516e+18,beard gang and them burnt out because they said they hate when they spill corona in they investment,0,0,0,0,0,1,1,0,0,1,3
1.24515e+18,laughing out loud corona got ppl afraid to even look in your direction in public,0,0,0,0,0,0,0,0,0,1,1
1.24525e+18,a 13 year old died of coronavirus last night  a 13 year old  please stay home ,0,0,0,0,1,1,0,0,0,0,2
1.24516e+18,bawling watching on new york governor prime time  anyone else bawling  getwellsoonchris coronavirus,1,0,0,0,0,1,0,0,0,0,2
1.24515e+18,corona came to let you change your daily basis fuckin ordinary god damn conversations,0,0,0,0,0,0,1,0,0,1,2
1.24524e+18,was it mosque jamaat or kinda corona jehad medieval times mindset very poor of them ,0,0,0,1,0,0,1,0,0,0,2
1.2452e+18,cant believe kim petras just got rid of the coronavirus like that,1,0,0,1,0,0,0,1,0,0,2
1.24519e+18,ive washed my hands more in the past 2 weeks than i have in the past 2 years   not sure if thats good or bad coronavirus,1,0,0,0,0,0,1,0,0,1,3
1.24516e+18,if i cannot sleep do i count sheep or all the times corbyn lost the argument instead  coronavirus selfisolation sendhelp,0,0,0,0,0,0,0,0,0,1,1
1.24515e+18,okay party on saturday laughing out loud stay home if   you ve been exposed to corona  exp corona like symptoms,1,0,0,0,0,0,0,0,0,1,2
1.24521e+18,trying to plan my bday but praying that this corona is over and social distancing is clear,0,0,1,0,0,0,0,0,0,0,1
1.24518e+18,sir i found way to stop spread of corona and we can save lives  i believe you care pls reply back and i can explain,1,0,0,0,0,0,0,0,0,1,2
1.24522e+18,after muslims jamate problem  in todays scenario of coronavirus should we keep distance from every muslim for our safety      ,0,0,0,1,1,0,0,0,0,0,2
1.24517e+18,im waiting for someone to tell me that the coronavirus was just an april fools joke taken too far,1,0,0,0,0,0,0,0,0,1,2
1.24517e+18,i hope coronavirus kills boxelder bugs  it might be the silver lining in all of this ,1,0,0,1,0,0,0,0,0,0,2
1.24523e+18,just waiting for the tested positive for coronavirus haha april fools posts to start,0,0,0,0,0,0,1,0,0,1,2
1.24523e+18,me and my wife decided to buy paper plates to eat on since apparently the coronavirus comes from china,1,0,0,1,0,0,0,1,0,1,3
1.2452e+18,please stop this corona message on telephone  many times calls are not being connected  one line message is enough ,0,0,0,0,0,0,1,0,0,0,1
1.24515e+18,60 minutes australia coronavirus coverup s,0,0,0,0,0,0,0,0,1,0,1
1.24514e+18, oh no that hatsune miku song about corona is going to be gone  ,0,0,0,1,0,0,0,0,0,1,2
1.24522e+18,thanks for reminding me these films exist coronavirus    i really needed something to binge watch with my gf laughing out loud,1,0,0,0,0,0,0,0,0,1,2
1.24515e+18,first day of the month  rain affection is over coronavirus is over  jesusislord supremacy,1,0,1,0,0,0,0,0,0,0,2
1.24518e+18,i was supposed to work a trip to cancun this month  you know what im not doing anymore     going to cancun  corona you can eat my fucking ass,0,0,0,0,0,1,1,0,0,1,3
1.2452e+18,i do not even know what to play  all the servers absolutely dog shit    can we skip corona season already  fuck   ,0,0,0,0,0,0,1,0,0,1,2
1.24785e+18,so what is this  all these yesterdays celebrities gonna die from coronavirus now  as a form of last resort promotion ,0,0,0,0,1,0,1,0,0,1,3
1.24515e+18,tomorrows april fools day so this whole coronavirus thing better turn out to be a big prank,1,0,0,0,0,0,0,0,0,1,2
1.24518e+18,lockdown hai   everyone is inside their home practicing social distancing against corona virus  ,1,1,0,0,0,0,0,0,0,1,3
1.24517e+18,close to 40 000 people killed in coronavirus pandemic across the globe  coronavirus,0,0,0,0,0,0,0,0,1,0,1
1.24782e+18,not sure how we could find out but id like to know if anyone with lupus thats been on hydroxychloriquine has contracted coronavirus    ,0,0,0,0,1,0,0,0,0,0,1
1.24517e+18,the corona has made its way to hammy and tomorrow at midnight we wont be able to leave our homes stay safe babies,0,0,1,0,1,1,0,0,0,0,3
1.24522e+18,april fool s the corona was a joke guys ya can go outside now,0,0,0,0,0,0,0,0,0,1,1
1.24522e+18,france has had 52 128 cases with 3 523  6 76   deaths  coronavirus coronavirus france,0,0,0,0,0,1,0,0,1,0,2
1.24517e+18,my friend said coronavirus was created to help with population control and global warming ,0,0,0,0,0,0,0,1,0,0,0
1.24524e+18,its 12 00 on the dot waiting for them to say april fools bout corona now,0,0,0,0,0,1,0,0,0,1,2
1.24525e+18,my pup s piss n shit have made me wash my hands more times than the coronavirus,0,0,0,0,0,1,0,0,0,1,2
1.2452e+18,how many people think the coronavirus is china chemical weapon  ,0,0,0,0,0,0,0,1,1,0,1
1.24515e+18,bout to take my phone to the computer guy to get rid of this coronavirus prog trojan everyone is so fucking scared of ,0,0,0,0,0,0,1,0,0,1,2
1.24516e+18,batman s job just got a lot easier   batman jumps off rooftop  bad guys  ahhh  we are gonna get coronavirus   run away ,0,0,0,0,0,0,0,0,0,1,1
1.2452e+18,smart  amazon  rather than heed the warning  kill the canary in the mine coronavirus resist,1,0,0,0,0,0,1,0,0,0,2
1.24785e+18,coronavirus  no matter how hard i try  i just cannot get to this scott guy  allergies  hold my beer ,0,0,0,0,0,0,0,0,0,1,1
1.24524e+18,im not getting that coronavirus test  bitch ya not sticking no shit up my nose to my brain,0,0,0,0,1,0,1,0,0,0,2
1.2452e+18,coronavirus in time of crisis we have seen the best the worse in humanity,0,1,0,0,0,1,0,0,0,0,2
1.24518e+18,went out for a drive w my fam and my mom rly said look even the trees look sad cause of corona,0,0,0,0,0,1,0,0,0,1,2
1.24516e+18,sir please term the tabliqi jamat people as corona jihad  indeed they did it ,0,0,0,0,0,0,1,1,0,0,1
1.24785e+18,im making a playlist of songs that exude summer vibes and freedom to enjoy when corona fucks off ,1,0,0,0,0,1,1,0,0,0,3
1.24517e+18,this is what we have come to  but wait  i thought our president had it all under control  right  coronavirus,1,0,0,0,0,0,1,0,0,0,2
1.24524e+18,crazy to think china is a day ahead of us and they still havent found a cure for the coronavirus yet,0,0,0,0,1,0,1,0,0,0,2
1.24514e+18,i just feel like corona wouldnt be here if michael jackson was alive,0,0,0,0,0,0,0,0,0,1,1
1.24785e+18,do not use twitter for nothing  pl focus on corona virus help needy citizens peace peace peace,1,0,0,0,0,0,0,0,0,0,1
1.24519e+18,if the corona virus was a person mfs from cincinnati woulda been aired yo mama house out,0,0,0,0,0,1,0,0,0,1,2
1.24518e+18,woah woah woah  so before all die of corona does anyone wanna admit to wanting me in their life ,0,0,0,0,1,0,0,0,0,1,2
1.2452e+18,to all the beautiful girls who made april fools  this tweet for you that i am still alive and fighting corona  april fools day,1,0,0,0,0,0,1,0,0,1,3
1.24524e+18,corona is fake happy april fools laughing out loud got you,0,0,0,0,0,0,0,0,0,1,1
1.24514e+18,how do all these medics find the time to tweet in a crisis  multitaskers all of them  coronavirus coronavirus 19,0,0,0,0,0,0,1,0,0,1,2
1.24515e+18,can coronavirus just come out and scream april fool then go back to where it came from  ,0,0,0,0,0,1,0,0,0,1,2
1.2452e+18,this corona shit got me feeling like im on house arrest w internet access,0,0,0,0,0,0,0,0,0,1,1
1.24514e+18,so heart breaking any way you see it prayers to all the families affected by the coronavirus ,0,0,1,0,0,1,0,0,0,0,2
1.24522e+18,might go catch corona on purpose    feeling risky,0,0,0,1,0,0,0,0,0,1,2
1.24525e+18,corona cases increased due to central goverment lockdown rules passed but not maintains this rule,0,0,0,0,0,0,1,0,1,0,2
1.24519e+18,losing the ball on ur septum ring is worse than contracting coronavirus,0,0,0,0,0,1,0,0,0,1,2
1.24524e+18,i do not think he is joking  idk he had never make fun of sumn as serious and important as the coronavirus right   esp as a korean citizen,0,0,0,0,1,0,1,0,0,0,2
1.2452e+18,nigeria fighting coronavirus in style    what a smart idea  what an intelligent country ,1,1,0,0,0,0,0,0,0,0,2
1.24522e+18,and this is exactly why the us is now leading the world in coronavirus cases    good job mr  president,0,1,0,0,0,0,1,0,0,0,2
1.24514e+18,i honestly miss eating food while drunk with my eyes closed as i chew corona ungiyenza ntoni,0,0,0,0,0,1,0,0,0,1,2
1.24785e+18,the way that trump is handling the coronavirus should show yall that he dont care about the american people  black or white,0,0,0,0,0,0,1,0,0,0,1
1.24514e+18,i cant believe the new reality that were living in  wh projects more than 100k coronavirus deaths  social distancing saves lives ,0,0,0,0,1,0,1,0,0,0,2
1.2452e+18,as of yesterday  mar 31  2020   coronavirus now accounts for over 10  of all daily deaths in the us ,0,0,0,1,0,0,0,0,1,0,2
1.24519e+18,coronavirus update  1 430  confirmed cases in wi  710 confirmed cases in milwaukee ,0,0,0,0,0,0,0,0,1,0,1
1.24517e+18,one dead every 3 minutes in ny due to coronavirus  let it sink in ,0,0,0,0,1,1,0,0,0,0,2
1.24522e+18,non disclosure of corona information is a terrorist act  those not coming forward for testing should be declared terrorists muslims,0,0,0,0,0,0,1,0,0,0,1
1.24518e+18,just remembered the packet of tim tams in the pantry  gotta take the wins when you can selfisolation timtams coronavirus,1,0,0,1,0,0,0,0,0,1,3
1.24524e+18,sacked newspaper editor becomes top medical expert during coronavirus crisis   lt  not a headline you will ever see about piers morgan ,0,0,0,0,0,0,1,0,0,0,1
1.24514e+18,facts i hope this corona over by then bc its gone be my 21st,1,0,0,0,0,0,0,0,0,0,1
1.24515e+18,the earthquake we had a few minutes ago did help us forget briefly about the coronavirus and make stay at home more interesting,1,0,0,0,0,0,0,0,0,0,1
1.24519e+18,any thoughts on how far along netflix is already on their original coronavirus limited series documentary  one week  two ,0,0,0,0,0,0,1,0,0,1,2
1.24785e+18,i have not been sharing corona posts  but i think this is worth the read  stay home and pray people   ,1,0,0,0,0,0,0,0,0,0,1
1.24518e+18,damn my cousins wife tested positive for coronavirus today whack,0,0,0,0,1,1,0,0,0,0,2
1.24518e+18,how many fucking idiots think it will be funny to say they have the coronavirus for april fools tomorrow  im guessing entirely too many ,0,0,0,0,0,0,1,0,0,0,1
1.24524e+18,based on current testing rates in the uk it would take around 25 years for the uk population to get tested for coronavirus bbcbreakfast,0,0,0,0,0,0,1,0,1,0,2
1.24518e+18,imagine this 1st april  government announces that the corona virus is april fool ,1,0,0,0,0,0,0,0,0,1,2
1.24515e+18, 3 31 2020  per the ny times  the novel coronavirus is the first virus that is not an influenza virus to set off a pandemic ,0,0,0,0,0,0,0,0,1,0,1
1.24525e+18,this is why the world is going to shit and youd ask why they sprayed corona on us fuckkkk    ,0,0,0,0,0,0,1,1,0,0,1
1.24514e+18,10 new deaths reported in l a  county today  548 new cases  coronavirus,0,0,0,0,0,0,0,0,1,0,1
1.24517e+18,honestly im only cooking at home now cause of corona but this wife lifestyle low key aint it      jk just not the cooking laugh my a   off,0,0,0,0,0,1,0,0,0,1,2
1.24514e+18,many americans journalist must get their head out of the azz of china if theyre going to report on the coronavirus with accuracy ,0,0,0,0,0,0,1,0,0,0,1
1.24521e+18,why amidst this whole coronavirus pandemic  crisis  are countries rolling out 5g  signing bill s into law  we need to focus ,0,0,0,1,0,0,1,1,0,0,2
1.2452e+18,somebody go take corona fool today make soldier slap am free ,0,0,0,0,0,0,0,0,0,1,1
1.24517e+18,tomorrow is our webinar on the coronavirus impact on u s  restaurant be sure to register colliersretail cre,0,0,0,0,0,0,0,0,1,0,1
1.2452e+18,imagine the government says they have a cure for the coronavirus    then few hours go by they say april fools,0,0,0,0,0,0,0,0,0,1,1
1.2452e+18,india is affected with two virus first one is corona and second is shameful and very scary  ,0,0,0,0,1,0,0,0,1,0,2
1.24785e+18,when you build your guillotines  american friends  save a few for these used god salesmen  coronavirus 19,0,0,0,0,0,0,1,0,0,1,2
1.24516e+18,tonight has decided to cancel all their events programs through august 31st due to coronavirus,0,0,0,0,0,1,0,0,1,0,2
1.24517e+18,i want to go out and wear minimal amount of clothes like is that so hard to ask for,1,0,0,0,0,1,0,0,0,0,2
1.24786e+18,corona i actually hate you  youve made your point now you can leave  just want my freedom back,0,0,0,0,0,1,1,0,0,0,2
1.24517e+18,good morning to everyone except for ms  coronavirus carole baskin,0,0,0,0,0,0,1,0,0,1,2
1.24517e+18,corona virus make april fool s day not famous anymore,0,0,0,0,0,1,0,0,0,1,2
1.24519e+18,praying that i wake up tomorrow and the world goes april fools coronavirus doesnt exist,1,0,1,0,0,1,0,0,0,0,3
1.24515e+18,it is all fun unilt someone looses a  corona eye  ,0,0,0,0,1,0,0,0,0,1,2
1.24786e+18,even corona has reached here but instagram music is still unavailable in my region smh,0,0,0,0,0,0,1,0,0,1,2
1.24524e+18,i wanna make it a habit to go to the gym  i was on my way to that before corona came around,0,0,0,0,0,1,1,0,0,0,2
1.24516e+18,real question  is it ok to wear a ski mask   questionoftheday coronavirus,0,0,0,0,1,0,0,0,0,0,1
1.24514e+18,hey bill gates  i saw your patent on the coronavirus  fuck this simulation and your stupid games  i am sick of them now ,0,0,0,0,0,0,1,0,0,0,1
1.24524e+18,okay okay its april fools  can someone say sike on the whole corona shit now haha,0,0,0,0,1,0,0,0,0,1,2
1.24518e+18,caleb finn getting the coronavirus is such an epic installment into his life  the universe is not letting this poor man breathe,0,0,0,1,0,0,0,0,0,1,2
1.24514e+18,im scared to go to work tomorrow cause of this corona shit  i do not want to touch nobodys phone ,0,0,0,0,1,0,1,0,0,0,2
1.2452e+18,hello guys do you think kenya is ready to fight coronavirus diseases digitally digitalhealthcareke,1,0,0,0,1,0,0,0,0,1,3
1.24514e+18,bigger debaters pundits arguing in bad faith  hugh or rich  coronavirus conservatismisdead,0,0,0,0,0,0,1,1,0,0,1
1.24518e+18,youre going to hear or read the word coronavirus literally every single day for the next 2 years probably ,0,0,0,1,0,0,0,0,0,0,1
1.25009e+18,i find it amazing that more people fear the coronavirus than the second coming of the lord ,0,0,0,0,0,0,0,0,0,0,0
1.24519e+18,whos this bish rona  i dont know her  whats her story  coronavirus coronavirusmemoirs,0,0,0,0,0,0,0,0,0,1,1
1.24525e+18,haha i get it  the whole coronavirus was just a bad ad campaign for haha pleasesaysike,0,0,0,0,0,0,0,0,0,1,1
1.2452e+18,fed economists warn us unemployment rate could soon reach 32 during great depression it peaked at 25    usa    coronavirus,0,0,0,0,0,0,0,0,1,0,1
1.2452e+18,been making all these bomb keto dishes and i cannot fucking smell or taste them coronavirus,0,0,0,0,0,1,1,0,0,0,2
1.24786e+18,file these steps under abundance of caution  theyre not necessary  but if it gives you peace of mind  it may be worth it  coronavirus,1,0,0,0,0,0,0,0,0,0,1
1.24524e+18,great sir he is our true inspiring devoted robin hood for india ajitdoval coronavirus,1,1,0,0,0,0,0,0,0,0,2
1.24755e+18,india   coronavirus cases  4 911   deaths  137   recovered  382,0,0,0,0,0,0,0,0,1,0,1
1.24514e+18,due to the coronavirus there are only 3 days in a week  yesterday today tomorrow,0,0,0,0,0,1,0,0,0,1,2
1.24516e+18,state of emergency extended for two weeks  until april 14th yyj coronavirusbc,0,0,0,0,0,1,0,0,1,0,2
1.24519e+18,praying for inmate families in regards to the coronavirus spread throughout out the correctional institutions ,0,0,1,0,0,0,0,0,0,0,1
1.24785e+18,let us not forget that the majority of our imported coronavirus 19 cases were from the us,0,0,0,0,0,0,1,0,0,0,1
1.24521e+18,i wish in the am trump get on tv nd say corona virus was an april fools joke nd we can come back outside,1,0,0,0,0,1,0,0,0,0,2
1.24521e+18,the social determinants of health still apply during a pandemic  even more  sdoh coronavirus,0,0,0,0,0,0,1,0,0,0,1
1.24519e+18,im definitely not ready for soundcloud rappers to be like my flow the nicest im sicker than the coronavirus i dont want to hear it,0,0,0,0,0,0,1,0,0,1,2
1.24522e+18,i usually love to watch the news  i am so damn sick of this coronavirus shit it is unbelievable ,0,0,0,1,0,0,1,0,0,0,2
1.24522e+18,any idea of accepting head shave challenge for nurse who worked against corona coronavirus 19       ,0,0,0,0,0,0,0,0,0,1,1
1.24522e+18,okay so daniels little sister told me that she is turning 4 again since the corona virus cancelled her birthday this year,0,0,0,0,0,0,0,0,0,1,1
1.24515e+18,first time leaving the house in so long  gas is 1 33      corona acting a bit naughty lately,0,0,0,0,0,1,1,0,0,0,2
1.24515e+18,ppl takin these corona shit over the top serious n its pissing me off fr,0,0,0,0,0,0,1,0,0,0,1
1.24518e+18,retweet if youd rather watch cats than another one of trumps coronavirus press briefings ,1,0,0,0,0,0,1,0,0,0,2
1.24785e+18,coronavirus just hit home  my cousin who is a nurse got it and my best friends 90 year old grandmother  stopthespread,0,0,0,0,1,1,0,0,0,0,2
1.24514e+18,i love the coronavirus safety commercials  rider is soooo cute,1,0,0,0,0,0,0,0,0,0,1
